WhiteElo,BlackElo,GameMode,good,inaccuracy,mistake,blunder
1281,1305,Blitz,6,17,1,2
1193,1221,Blitz,20,20,4,25
1311,1359,Blitz,6,29,3,80
1052,1012,Rapid,2,10,5,18
1773,1852,Bullet,2,12,1,42
1953,1955,Bullet,4,23,2,36
2241,2240,Bullet,15,16,48,34
1735,1729,Bullet,2,19,5,38
1588,1686,Bullet,0,5,20,67
1358,1368,Bullet,1,10,9,41
1434,1434,Bullet,3,17,2,12
2237,2229,Bullet,4,10,2,30
1521,1451,Bullet,2,8,12,9
2343,2294,Bullet,2,18,10,66
1408,1370,Bullet,21,15,21,0
1241,1244,Bullet,8,33,7,0
1954,1989,Bullet,1,10,26,31
1208,1224,Bullet,3,9,19,12
1879,1748,Bullet,22,21,6,11
2640,2759,Bullet,14,24,9,32
1941,2026,Bullet,9,33,13,31
869,967,Bullet,8,8,6,4
2084,2085,Bullet,14,22,13,10
2043,2023,Bullet,1,11,26,11
2028,2170,Bullet,8,39,12,33
2166,2381,Bullet,13,40,61,20
1965,1984,Bullet,17,34,9,2
1661,1662,Bullet,9,7,20,74
1784,1769,Bullet,8,13,15,5
1545,1551,Bullet,12,17,12,13
2148,2171,Bullet,3,32,14,20
1393,1463,Bullet,4,6,10,26
2217,2180,Bullet,2,18,7,36
2074,2128,Bullet,9,18,25,22
2004,2002,Bullet,10,17,2,75
1606,1631,Bullet,3,4,31,17
1365,1369,Bullet,7,22,11,19
1939,1846,Bullet,5,47,42,38
1291,1358,Bullet,8,17,9,62
1789,1800,Bullet,9,24,8,2
1609,1615,Bullet,3,17,17,19
1932,1938,Bullet,2,13,19,43
1363,1378,Blitz,10,11,7,37
2314,2296,Bullet,52,41,18,14
1875,1841,Blitz,1,10,26,9
1734,1605,Bullet,15,11,7,13
1955,1974,Bullet,5,32,8,2
1228,1260,Bullet,11,8,1,31
1141,1125,Bullet,3,21,27,3
1379,1345,Bullet,10,20,25,0
1405,1465,Bullet,1,9,5,8
1902,1821,Bullet,13,26,16,25
978,996,Bullet,6,20,8,3
2035,2030,Bullet,2,12,45,21
1489,1477,Bullet,8,26,2,62
1305,1341,Bullet,21,26,3,3
1291,1278,Bullet,1,25,24,23
1121,1049,Bullet,7,25,17,5
2316,2409,Bullet,33,22,2,0
1024,1020,Blitz,0,7,13,108
1342,1395,Blitz,19,20,32,54
1452,1448,Blitz,2,30,48,16
961,944,Blitz,8,16,32,17
1914,1882,Blitz,2,31,16,12
2268,2315,Bullet,5,12,16,36
1862,1851,Bullet,8,13,6,2
2058,1936,Bullet,2,11,13,63
1492,1568,Bullet,6,29,15,8
1360,1324,Bullet,18,8,15,93
1422,1407,Bullet,11,5,1,4
2171,2129,Bullet,8,15,22,18
1802,1789,Bullet,7,13,9,2
2122,2119,Bullet,9,13,4,6
1188,1076,Bullet,8,11,2,9
2109,2106,Bullet,8,15,11,22
1195,1279,Bullet,11,10,5,43
2374,2379,Bullet,1,12,28,37
1722,1660,Bullet,3,22,37,24
2131,2130,Bullet,8,20,26,35
2331,2385,Bullet,8,14,0,2
1808,1807,Bullet,1,2,3,68
2026,1996,Bullet,2,31,42,1
1740,1761,Bullet,3,11,1,2
1802,1783,Bullet,1,25,16,33
2198,2204,Bullet,10,19,17,37
2551,2450,Bullet,3,33,9,8
1872,1843,Bullet,12,44,30,13
2089,2111,Bullet,39,24,9,7
1820,1828,Bullet,0,9,2,4
1890,1912,Bullet,28,58,37,6
1781,1675,Bullet,5,11,17,27
2550,2691,Bullet,32,40,11,4
1983,1943,Bullet,10,34,29,12
1335,1356,Blitz,2,13,0,10
1461,1459,Blitz,11,28,28,19
1772,1772,Blitz,0,3,10,11
1685,1679,Blitz,0,6,14,55
1829,1861,Blitz,15,20,18,15
704,582,Blitz,0,6,4,2
1703,1716,Blitz,1,15,7,29
2213,2160,Blitz,4,38,16,10
1785,1751,Blitz,7,26,19,5
1959,2104,Blitz,3,37,35,2
1555,1566,Blitz,6,15,4,25
2017,1921,Blitz,7,19,32,22
1307,1233,Blitz,5,15,24,7
1480,1504,Blitz,3,11,12,24
1405,1458,Blitz,13,27,5,0
